pop_yard_period,datatype,analyte,pval,fval,MSerror,Df,Mean,CV,mean_sfc,mean_tre,mean_uql,mean_wil,mean_zie,sd_sfc,sd_tre,sd_uql,sd_wil,sd_zie,wil,sfc,tre,uql,zie,n_sfc,n_tre,n_uql,n_wil,n_zie,sfc_pretty,tre_pretty,uql_pretty,wil_pretty,zie_pretty,subws_name
post_yard,raw,ec,7.279230334732964e-32,43.47040662046359,2644.770787873358,572,138.5496533795494,37.11834260969786,141,121,120,182,115,31,33,29,83,31,a,b,bc,bc,c,53,112,108,164,140,141 ? 31,121 ? 33,120 ? 29,182 ? 83,115 ? 31,1
post_yard,raw,ph,0.6070276833151033,0.6785498074787096,8.728622581421307,572,7.185389948006932,41.117103733314416,7.18,7.05,6.95,7.15,7.52,0.39,0.38,0.2,0.43,6,a,a,a,a,a,53,112,108,164,140,7.18 ? 0.39,7.05 ? 0.38,6.95 ? 0.2,7.15 ? 0.43,7.52 ? 6,1
post_yard,raw,turb,7.668882577773287e-4,4.835737613971924,2099.955644945516,568,21.49743455497382,213.16624026228226,11.3,16.6,22.4,15.6,35.3,16,22,12,21,87,b,b,b,ab,a,52,111,108,162,140,11.3 ? 16,16.6 ? 22,22.4 ? 12,15.6 ? 21,35.3 ? 87,1
post_yard,raw,tn,6.447152334539874e-4,4.944820722649664,0.06036027553229803,501,0.1861218369110672,132.00132077473685,0.154,0.145,0.197,0.148,0.262,0.11,0.11,0.22,0.13,0.41,b,ab,b,ab,a,50,104,85,134,133,0.154 ? 0.11,0.145 ? 0.11,0.197 ? 0.22,0.148 ? 0.13,0.262 ? 0.41,1
post_yard,raw,nh4n,0.7957089733627543,0.4180030040431463,0.051165293773507,573,0.05180801880103806,436.6070572923194,0.0526,0.0744,0.0508,0.0389,0.0495,0.19,0.47,0.051,0.057,0.13,a,a,a,a,a,53,112,108,165,140,0.0526 ? 0.19,0.0744 ? 0.47,0.0508 ? 0.051,0.0389 ? 0.057,0.0495 ? 0.13,1
post_yard,raw,no3n,3.859382017071648e-7,9.110146505024373,0.007708254614702879,574,0.0260735304835924,336.72718914189784,0.0124,0.0179,0.0158,0.00985,0.0645,0.021,0.026,0.021,0.021,0.17,b,b,b,b,a,53,112,108,165,141,0.0124 ? 0.021,0.0179 ? 0.026,0.0158 ? 0.021,0.00985 ? 0.021,0.0645 ? 0.17,1
post_yard,raw,tp,3.817869437669887e-6,7.869604442293622,0.02108352500982942,468,0.12848749172727272,113.008408976214,0.0729,0.165,0.12,0.0877,0.166,0.099,0.17,0.13,0.11,0.17,b,b,a,ab,a,46,97,79,124,127,0.0729 ? 0.099,0.165 ? 0.17,0.12 ? 0.13,0.0877 ? 0.11,0.166 ? 0.17,1
post_yard,raw,po4,0.6522414345997293,0.6146488418528019,0.006311625264726198,574,0.015343754682210707,517.7724716618693,0.0171,0.0228,0.00903,0.0109,0.0187,0.078,0.12,0.025,0.0094,0.11,a,a,a,a,a,53,112,108,165,141,0.0171 ? 0.078,0.0228 ? 0.12,0.00903 ? 0.025,0.0109 ? 0.0094,0.0187 ? 0.11,1
post_yard,raw,doc,1.524632558735457e-8,10.931645877369053,8.014582161114571,564,4.62022329128471,61.27417570336792,3.45,4.48,5.03,3.88,5.72,1.8,2.8,2.5,2.8,3.4,c,c,bc,ab,a,52,108,107,163,139,3.45 ? 1.8,4.48 ? 2.8,5.03 ? 2.5,3.88 ? 2.8,5.72 ? 3.4,1
pre_yard,raw,ec,8.122479208577285e-8,10.069249900248137,5158.229404286626,455,138.72173913043477,51.773294518773334,166,132,128,167,114,100,56,61,94,51,a,ab,bc,c,c,38,104,94,118,106,166 ? 100,132 ? 56,128 ? 61,167 ? 94,114 ? 51,1
pre_yard,raw,ph,5.2614832914706174e-5,6.384994521985105,0.2010760174095593,455,7.3315,6.116279148618745,7.1,7.32,7.26,7.48,7.33,0.79,0.44,0.4,0.4,0.38,a,c,abc,bc,ab,38,104,94,118,106,7.1 ? 0.79,7.32 ? 0.44,7.26 ? 0.4,7.48 ? 0.4,7.33 ? 0.38,1
pre_yard,raw,turb,0.0532270511854924,2.3529154849993614,11177.736081761193,455,41.882695652173915,252.43077443719525,7.76,45.7,29.5,40.9,62.5,11,120,28,78,160,a,a,a,a,a,38,104,94,118,106,7.76 ? 11,45.7 ? 120,29.5 ? 28,40.9 ? 78,62.5 ? 160,1
pre_yard,raw,tn,0.13111439044596923,1.7828845368486839,0.04050032887972946,456,0.2374403470715835,84.75684000786418,0.278,0.213,0.206,0.258,0.252,0.39,0.16,0.14,0.21,0.18,a,a,a,a,a,38,104,94,119,106,0.278 ? 0.39,0.213 ? 0.16,0.206 ? 0.14,0.258 ? 0.21,0.252 ? 0.18,1
pre_yard,raw,nh4n,0.13972637106415292,1.7414805877741264,0.002951815696555195,455,0.033217391304347824,163.56075113987103,0.0311,0.0339,0.0399,0.0381,0.022,0.072,0.05,0.056,0.067,0.026,a,a,a,a,a,38,104,94,118,106,0.0311 ? 0.072,0.0339 ? 0.05,0.0399 ? 0.056,0.0381 ? 0.067,0.022 ? 0.026,1
pre_yard,raw,no3n,0.198267312195405,1.5095808786167666,0.003853627651840876,456,0.012887808594360086,481.67687581814516,0.0333,0.0119,0.0174,0.00716,0.00905,0.08,0.033,0.12,0.015,0.019,a,a,a,a,a,38,104,94,119,106,0.0333 ? 0.08,0.0119 ? 0.033,0.0174 ? 0.12,0.00716 ? 0.015,0.00905 ? 0.019,1
pre_yard,raw,tp,0.08380620302846406,2.0693499792917134,0.012928920758875804,456,0.061735357917570496,184.18199232143434,0.0308,0.0748,0.0414,0.0678,0.0713,0.053,0.13,0.04,0.095,0.16,a,a,a,a,a,38,104,94,119,106,0.0308 ? 0.053,0.0748 ? 0.13,0.0414 ? 0.04,0.0678 ? 0.095,0.0713 ? 0.16,1
pre_yard,raw,po4,0.0638560314892048,2.239872758741844,5.57893865431031e-4,456,0.012934924078091107,182.60468214048012,0.0191,0.011,0.00978,0.0168,0.011,0.018,0.011,0.027,0.015,0.036,a,a,a,a,a,38,104,94,119,106,0.0191 ? 0.018,0.011 ? 0.011,0.00978 ? 0.027,0.0168 ? 0.015,0.011 ? 0.036,1
pre_yard,raw,doc,0.005165830454183024,3.7489270294902473,3.132660592990182,455,3.065760869565217,57.73223825706072,2.53,2.78,3.13,2.99,3.56,1.5,1.7,1.5,1.9,2,ab,b,b,ab,a,38,104,94,118,106,2.53 ? 1.5,2.78 ? 1.7,3.13 ? 1.5,2.99 ? 1.9,3.56 ? 2,1
